game_id,mode_id,duration_ms,recorded_at_utc
bloons,monkey-lane,28883,2026-03-09T20:39:07.4147010+00:00
bloons,monkey-lane,52133,2026-03-09T20:36:14.5389460+00:00
bloons,monkey-lane,87446,2026-03-20T17:46:02.6202330+00:00
bloons,monkey-lane,141687,2026-03-11T14:39:39.9213120+00:00
